dataset,model,NCM-1,NCM-5,PT_NCM-1,PT_NCM-5,PT_Kmeans-1,PT_Kmeans-5,PT-1,PT-5,PEME-1,PEME-5
CifarFS,Resnet18-MM,57.1±0.22,71.91±0.19,59.55±0.21,76.48±0.18,66.97±0.26,79.5±0.17,71.69±0.26,81.33±0.17,74.59±0.29,67.45±0.42
CifarFS,Resnet18-S2M2,65.46±0.22,78.45±0.18,67.68±0.22,81.82±0.16,75.15±0.24,84.3±0.16,80.7±0.26,85.95±0.16,80.27±0.27,85.46±0.16
CifarFS,Resnet18-Paper,56.4±0,78.3±0,71.41±0.22,85.5±0.15,79.97±0.23,86.74±0.16,84.8±0.25,88.55±0.16,84.16±0.24,89.39±0.15
CifarFS,WideResnet26-MM,50.49±0.23,64.24±0.22,63.32±0.21,79.41±0.17,71.48±0.25,84.16±0.16,74.41±0.23,85.14±0.15,81.19±0.27,86.54±0.15
CifarFS,WideResnet26-S2M2,54.76±0.25,70.53±0.23,65.38±0.22,80.58±0.17,73.67±0.25,84.56±0.16,78.78±0.24,86.03±0.16,82.0±0.26,86.67±0.16
CifarFS,WideResnet26-Weights,70.45±0.22,83.91±0.17,72.72±0.21,85.59±0.16,81.98±0.24,88.65±0.15,85.34±0.22,89.74±0.15,86.16±0.24,89.57±0.15
CifarFS,WideResnet26-Features,71.92±0.22,84.42±0.17,73.24±0.21,85.87±0.16,81.98±0.23,88.78±0.15,85.72±0.23,89.8±0.15,86.03±0.23,89.55±0.15
CifarFS,WideResnet26-Paper,68.93±0,86.81±0,74.64±0.21,87.64±0.15,83.69±0.22,89.19±0.15,87.69±0.23,90.68±0.15,86.93±0.23,91.18±0.15
MiniImageNet,Resnet18-MM,43.77±0.18,56.35±0.16,48.72±0.19,64.0±0.16,53.34±0.23,67.46±0.17,57.72±0.28,69.4±0.18,57.34±0.29,62.42±0.3
MiniImageNet,Resnet18-S2M2,48.77±0.19,63.39±0.18,54.38±0.2,70.32±0.16,60.31±0.23,75.27±0.16,62.55±0.22,75.83±0.16,67.91±0.29,77.66±0.18
MiniImageNet,Resnet18-Paper,47.63±0,72.89±0,62.5±0.2,82.17±0.14,73.08±0.22,84.67±0.14,80.0±0.27,86.96±0.14,79.3±0.27,87.94±0.14
MiniImageNet,WideResnet26-MM,44.16±0.18,57.24±0.17,51.38±0.19,66.09±0.16,56.04±0.24,70.63±0.17,60.67±0.27,72.31±0.18,61.01±0.3,72.24±0.19
MiniImageNet,WideResnet26-S2M2,48.47±0.19,61.51±0.18,55.66±0.2,70.5±0.16,60.81±0.24,76.06±0.16,65.76±0.26,77.32±0.16,67.67±0.29,77.75±0.17
MiniImageNet,WideResnet26-Weights,41.31±0.21,53.11±0.23,53.83±0.2,67.7±0.17,60.06±0.24,76.08±0.17,59.73±0.2,74.48±0.16,67.8±0.3,52.85±0.58
MiniImageNet,WideResnet26-Features,46.65±0.25,57.89±0.26,63.23±0.2,76.31±0.17,70.51±0.24,85.51±0.13,70.65±0.2,84.53±0.13,81.47±0.26,45.54±0.65
MiniImageNet,WideResnet26-Paper,55.31±0,78.33±0,65.35±0.2,83.87±0.13,76.67±0.22,86.73±0.13,82.92±0.26,88.82±0.13,82.07±0.25,89.51±0.13
